SP500,Industry
A UN Equity,Health Care
AAL UW Equity,Industrials
AAP UN Equity,Consumer Discretionary
AAPL UW Equity,Information Technology
ABBV UN Equity,Health Care
ABC UN Equity,Health Care
ABT UN Equity,Health Care
ACN UN Equity,Information Technology
ADBE UW Equity,Information Technology
ADI UW Equity,Information Technology
ADM UN Equity,Consumer Staples
ADP UW Equity,Information Technology
ADS UN Equity,Information Technology
ADSK UW Equity,Information Technology
AEE UN Equity,Utilities
AEP UN Equity,Utilities
AES UN Equity,Utilities
AET UN Equity,Health Care
AFL UN Equity,Financials
AGN UN Equity,Health Care
AIG UN Equity,Financials
AIV UN Equity,Real Estate
AIZ UN Equity,Financials
AJG UN Equity,Financials
AKAM UW Equity,Information Technology
ALB UN Equity,Materials
ALGN UW Equity,Health Care
ALK UN Equity,Industrials
ALL UN Equity,Financials
ALLE UN Equity,Industrials
ALXN UW Equity,Health Care
AMAT UW Equity,Information Technology
AMD UR Equity,Information Technology
AME UN Equity,Industrials
AMG UN Equity,Financials
AMGN UW Equity,Health Care
AMP UN Equity,Financials
AMT UN Equity,Real Estate
AMZN UW Equity,Consumer Discretionary
ANDV UN Equity,Energy
ANSS UW Equity,Information Technology
ANTM UN Equity,Health Care
AON UN Equity,Financials
AOS UN Equity,Industrials
APA UN Equity,Energy
APC UN Equity,Energy
APD UN Equity,Materials
APH UN Equity,Information Technology
APTV UN Equity,Consumer Discretionary
ARE UN Equity,Real Estate
ARNC UN Equity,Industrials
ATVI UW Equity,Information Technology
AVB UN Equity,Real Estate
AVGO UW Equity,Information Technology
AVY UN Equity,Materials
AWK UN Equity,Utilities
AXP UN Equity,Financials
AYI UN Equity,Industrials
AZO UN Equity,Consumer Discretionary
BA UN Equity,Industrials
BAC UN Equity,Financials
BAX UN Equity,Health Care
BBT UN Equity,Financials
BBY UN Equity,Consumer Discretionary
BDX UN Equity,Health Care
BEN UN Equity,Financials
BF/B UN Equity,Consumer Staples
BHF UW Equity,Financials
BHGE UN Equity,Energy
BIIB UW Equity,Health Care
BK UN Equity,Financials
BKNG UW Equity,Consumer Discretionary
BLK UN Equity,Financials
BLL UN Equity,Materials
BMY UN Equity,Health Care
BRK/B UN Equity,Financials
BSX UN Equity,Health Care
BWA UN Equity,Consumer Discretionary
BXP UN Equity,Real Estate
C UN Equity,Financials
CA UW Equity,Information Technology
CAG UN Equity,Consumer Staples
CAH UN Equity,Health Care
CAT UN Equity,Industrials
CB UN Equity,Financials
CBG UN Equity,Financials
CBOE UW Equity,Real Estate
CBS UN Equity,Consumer Discretionary
CCI UN Equity,Real Estate
